STT,Hoạt chất 1,Hoạt chất 2,Cơ chế,Hậu quả,Xử trí
448,Ioxitalamat natri/ioxitala mat meglumin,Metformin,Nguy cơ suy thận cấp liên quan đến cả metformin và thuốc cản quang iod. Suy thận cấp làm tăng nguy cơ nhiễm toan lactic.,Tăng nguy cơ nhiễm toan lactic và suy thận cấp,"1. Bệnh nhân có MLCT > 30 ml/phút/1,73m2 và không có bằng chứng tổn thương thận cấp, được chỉ định tiêm thuốc cản quang đường tĩnh mạch hoặc tiêm thuốc cản quang đường động mạch tiếp xúc với thận thứ cấp (ví dụ: bơm thuốc vào tim phải, động mạch phổi, động mạch cảnh, động mạch dưới đòn, động mạch vành, động mạch mạc treo hay động mạch dưới động mạch thận): tiếp tục sử dụng metformin như bình thường. 2. Bệnh nhân (1) MLCT < 30 ml/phút/1,73m2 tiêm thuốc cản quang đường tĩnh mạch, đường động mạch tiếp xúc với thận thứ cấp, hoặc (2) Bệnh nhân tiêm thuốc cản quang đường động mạch tiếp xúc với thận đầu tiên (ví dụ: bơm thuốc vào tim trái, động mạch chủ ngực, động mạch chủ bụng trên động mạch thận hoặc động mạch thận) hoặc (3) Có tổn thương thận: Ngừng metformin trước hoặc tại thời điểm tiến hành thủ thuật chẩn đoán hình ảnh và không được dùng lại cho đến ít nhất 48 giờ sau đó. Sau 48 giờ, chỉ sử dụng lại metformin sau khi chức năng thận được đánh giá lại và cho thấy ổn định. * Lưu ý: - Các yếu tố nguy cơ: suy thận, suy tim, không đủ dịch hoặc thiếu dịch, sử dụng liều cao thuốc cản quang hoặc sử dụng đồng thời các thuốc độc tính trên thận khác. - Khuyến cáo về tương tác này không áp dụng trong trường hợp bơm thuốc cản quang iod để chụp X-quang tử cung - vòi trứng."
449,Irinotecan,Itraconazol,Itraconazol ức chế CYP3A4 và ức chế UGT1A1 (enzym xúc tác phản ứng glucuronid hóa) làm giảm chuyển hóa của SN-38 (chất chuyển hóa có hoạt tính của irinotecan),"Tăng nồng độ của chất chuyển hóa có hoạt tính của irinotecan trong huyết thanh, tăng nguy cơ tác dụng không mong muốn (tiêu chảy, giảm bạch cầu trung tính...)",Chống chỉ định phối hợp. Chỉ bắt đầu sử dụng irinotecan sau khi ngừng itraconazol ít nhất 2 tuần.
450,Isosorbid dinitrat,Sildenafil,Hiệp đồng tăng nồng độ guanosine monophosphate (cGMP) vòng có dụng giãn mạch,Tăng tác dụng hạ huyết áp nghiêm trọng,Chống chỉ định phối hợp. Hai thuốc cách nhau ít nhất 24 giờ.
451,Isosorbid dinitrat,Vardenafil,Hiệp đồng tăng nồng độ guanosine monophosphate (cGMP) vòng có dụng giãn mạch,Tăng tác dụng hạ huyết áp nghiêm trọng,Chống chỉ định phối hợp. Hai thuốc cách nhau ít nhất 24 giờ.
452,Isosorbid dinitrat,Tadalafil,Hiệp đồng tăng nồng độ guanosine monophosphate (cGMP) vòng có dụng giãn mạch,Tăng tác dụng hạ huyết áp nghiêm trọng,Chống chỉ định phối hợp. Hai thuốc cách nhau ít nhất 48 giờ.
453,Isosorbid mononitrat,Sildenafil,Hiệp đồng tăng nồng độ guanosine monophosphate (cGMP) vòng có dụng giãn mạch,Tăng tác dụng hạ huyết áp nghiêm trọng,Chống chỉ định phối hợp. Hai thuốc cách nhau ít nhất 24 giờ.
454,Isosorbid mononitrat,Vardenafil,Hiệp đồng tăng nồng độ guanosine monophosphate (cGMP) vòng có dụng giãn mạch,Tăng tác dụng hạ huyết áp nghiêm trọng,Chống chỉ định phối hợp. Hai thuốc cách nhau ít nhất 24 giờ.
455,Isosorbid mononitrat,Tadalafil,Hiệp đồng tăng nồng độ guanosine monophosphate (cGMP) vòng có dụng giãn mạch,Tăng tác dụng hạ huyết áp nghiêm trọng,Chống chỉ định phối hợp. Hai thuốc cách nhau ít nhất 48 giờ.
456,Isotretinoin,Minocyclin,Hiệp đồng tăng độc tính,"Tăng nguy cơ tăng áp nội sọ lành tính (phù gai thị, đau đầu, buồn nôn và nôn, và rối loạn thị giác)",Chống chỉ định phối hợp
457,Isotretinoin,Tetracyclin,Hiệp đồng tăng độc tính,"Tăng nguy cơ tăng áp nội sọ lành tính (phù gai thị, đau đầu, buồn nôn và nôn, và rối loạn thị giác)",Chống chỉ định phối hợp
458,Isotretinoin,Tigecyclin,Hiệp đồng tăng độc tính,"Tăng nguy cơ tăng áp nội sọ lành tính (phù gai thị, đau đầu, buồn nôn và nôn, và rối loạn thị giác)",Chống chỉ định phối hợp
459,Itraconazol,Lovastatin,Itraconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của lovastatin,"Tăng nồng độ của lovastatin trong huyết thanh, tăng nguy cơ bệnh cơ hoặc tiêu cơ vân cấp","Chống chỉ định phối hợp. 1. Chỉ bắt đầu sử dụng lovastatin sau khi ngừng itraconazol ít nhất 2 tuần HOẶC 2. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: - Trong trường hợp bắt buộc sử dụng thuốc kháng nấm azol, thay itraconazol bằng fluconazol (nhưng tránh dùng liều cao, có tác dụng ức chế mạnh CYP3A4) HOẶC - Trong trường hợp bắt buộc sử dụng dẫn chất statin, thay lovastatin bằng các dẫn chất statin khác (ngoại trừ simvastatin), thận trọng khi phối hợp với atorvastatin."
460,Itraconazol,Simvastatin,Itraconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của simvastatin,"Tăng nồng độ của simvastatin trong huyết thanh, tăng nguy cơ bệnh cơ hoặc tiêu cơ vân cấp","Chống chỉ định phối hợp. 1. Chỉ bắt đầu sử dụng lovastatin sau khi ngừng itraconazol ít nhất 2 tuần HOẶC 2. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: - Trong trường hợp bắt buộc sử dụng thuốc kháng nấm azol, thay itraconazol bằng fluconazol (nhưng tránh dùng liều cao, có tác dụng ức chế mạnh CYP3A4) HOẶC - Trong trường hợp bắt buộc sử dụng dẫn chất statin, thay simvastatin bằng các dẫn chất statin khác (ngoại trừ lovastatin), thận trọng khi phối hợp với atorvastatin."
461,Itraconazol,Methylergometrin,Itraconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của methylergometrin,"Tăng nồng độ của methylergometrin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Chống chỉ định phối hợp
462,Itraconazol,Ivabradin,Itraconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của ivabradin,"Tăng nồng độ ivabradin trong huyết thanh, tăng nguy cơ kéo dài khoảng QT và chậm nhịp tim","Chống chỉ định phối hợp. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: Trong trường hợp bắt buộc sử dụng thuốc kháng nấm azol, thay itraconazol bằng fluconazol (nhưng tránh dùng liều cao, có tác dụng ức chế mạnh CYP3A4)."
463,Itraconazol,Ticagrelor,Itraconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của ticagrelor,"Tăng nồng độ của ticagrelor trong huyết thanh, tăng nguy cơ xuất huyết","Chống chỉ định phối hợp. 1. Chỉ bắt đầu sử dụng ticagrelor sau khi ngừng itraconazol ít nhất 2 tuần HOẶC 2. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: Trong trường hợp bắt buộc sử dụng thuốc kháng nấm azol, thay itraconazol bằng fluconazol (nhưng tránh dùng liều cao, có tác dụng ức chế mạnh CYP3A4)."
464,Itraconazol,Ranolazin,Itraconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của ranolazin,"Tăng nồng độ ranolazin trong huyết thanh, tăng nguy cơ kéo dài khoảng QT","Chống chỉ định phối hợp. 1. Chỉ bắt đầu sử dụng ranolazin sau khi ngừng itraconazol ít nhất 2 tuần HOẶC 2. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: Trong trường hợp bắt buộc sử dụng thuốc kháng nấm azol, thay itraconazol bằng fluconazol (nhưng tránh dùng liều cao, có tác dụng ức chế mạnh CYP3A4)."
465,Itraconazol,Tolvaptan,Itraconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của tolvaptan,"Tăng nồng độ tolvaptan trong huyết thanh, tăng nguy cơ tác dụng không mong muốn (tăng nồng độ natri huyết thanh, đa niệu, khát nước, giảm thể tích tuần hoàn...)","Chống chỉ định phối hợp. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: Trong trường hợp bắt buộc sử dụng thuốc kháng nấm azol, thay itraconazol bằng fluconazol (nhưng tránh dùng liều cao, có tác dụng ức chế mạnh CYP3A4)."
466,Itraconazol,Lercanidipin,Itraconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của lercanidipin,"Tăng nồng độ lercanidipin, tăng nguy cơ hạ huyết áp nghiêm trọng","Chống chỉ định phối hợp. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: Trong trường hợp bắt buộc sử dụng thuốc kháng nấm azol, thay itraconazol bằng fluconazol (nhưng tránh dùng liều cao, có tác dụng ức chế mạnh CYP3A4)."
467,Itraconazol,Vardenafil,Itraconazol ức chế CYP3A4 làm giảm chuyển hóa của vardenafil,"Tăng nồng độ vardenafil trong huyết thanh, tăng nguy cơ kéo dài khoảng QT",Chống chỉ định phối hợp
468,Itraconazol,Quetiapin,Itraconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của quetiapin,"Tăng nồng độ của quetiapin, tăng nguy cơ kéo dài khoảng QT","Chống chỉ định phối hợp. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: Trong trường hợp bắt buộc sử dụng thuốc kháng nấm azol, thay itraconazol bằng fluconazol (nhưng tránh dùng liều cao, có tác dụng ức chế mạnh CYP3A4)."
469,Ivabradin,Lopinavir/ritonavir,Lopinavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của ivabradin,"Tăng nồng độ ivabradin trong huyết thanh, tăng nguy cơ kéo dài khoảng QT và chậm nhịp tim",Chống chỉ định phối hợp
470,Ivabradin,Saquinavir +/- ritonavir,Saquinavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của ivabradin,"Tăng nồng độ ivabradin trong huyết thanh, tăng nguy cơ kéo dài khoảng QT và chậm nhịp tim",Chống chỉ định phối hợp
471,Ivabradin,Posaconazol,Posaconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của ivabradin,"Tăng nồng độ ivabradin trong huyết thanh, tăng nguy cơ kéo dài khoảng QT và chậm nhịp tim","Chống chỉ định phối hợp. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: Trong trường hợp bắt buộc sử dụng thuốc kháng nấm azol, thay posaconazol bằng fluconazol (nhưng tránh dùng liều cao, có tác dụng ức chế mạnh CYP3A4)."
472,Ivabradin,Voriconazol,Voriconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của ivabradin,"Tăng nồng độ ivabradin trong huyết thanh, tăng nguy cơ kéo dài khoảng QT và chậm nhịp tim","Chống chỉ định phối hợp. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: Trong trường hợp bắt buộc sử dụng thuốc kháng nấm azol, thay voriconazol bằng fluconazol (nhưng tránh dùng liều cao, có tác dụng ức chế mạnh CYP3A4)."
473,Ivabradin,Verapamil,Verapamil ức chế CYP3A4 làm giảm chuyển hóa của ivabradin và hiệp đồng tác dụng làm chậm nhịp tim của ivabradin,"Tăng nồng độ ivabradin trong huyết thanh, tăng nguy cơ kéo dài khoảng QT và chậm nhịp tim",Chống chỉ định phối hợp
474,Kali clorid (dạng uống giải phóng kéo dài),Trihexyphe nidyl,"Trihexyphenidyl kháng cholinergic gây tồn lưu hoặc làm tăng thời gian kali qua đường tiêu hóa khi sử dụng đường uống, gây loét đường tiêu hóa",Tăng nguy cơ loét tiêu hóa,"1. Tốt nhất nên tránh phối hợp, đặc biệt ở người cao tuổi. Cân nhắc chuyển sang sử dụng kali đường tĩnh mạch. 2. Trong trường hợp bắt buộc sử dụng đồng thời, cân nhắc một số khuyến cáo sau giúp giảm nguy cơ loét tiêu hóa: (1) uống ít nhất 100 mL nước sau khi uống kali, (2) ngồi hoặc đứng thẳng trong ít nhất 5 - 10 phút sau khi uống thuốc."
475,Kali clorid (dạng uống giải phóng kéo dài),Solifenacin,"Solifenacin kháng cholinergic gây tồn lưu hoặc làm tăng thời gian kali qua đường tiêu hóa khi sử dụng đường uống, gây loét đường tiêu hóa",Tăng nguy cơ loét tiêu hóa,"1. Tốt nhất nên tránh phối hợp, đặc biệt ở người cao tuổi. Cân nhắc chuyển sang sử dụng kali đường tĩnh mạch. 2. Trong trường hợp bắt buộc sử dụng đồng thời, cân nhắc một số khuyến cáo sau giúp giảm nguy cơ loét tiêu hóa: (1) uống ít nhất 100 mL nước sau khi uống kali, (2) ngồi hoặc đứng thẳng trong ít nhất 5 - 10 phút sau khi uống thuốc."
476,Kali clorid (dạng uống giải phóng kéo dài),Oxybutynin,"Oxybutynin kháng cholinergic gây tồn lưu hoặc làm tăng thời gian kali qua đường tiêu hóa khi sử dụng đường uống, gây loét đường tiêu hóa",Tăng nguy cơ loét tiêu hóa,"1. Tốt nhất nên tránh phối hợp, đặc biệt ở người cao tuổi. Cân nhắc chuyển sang sử dụng kali đường tĩnh mạch. 2. Trong trường hợp bắt buộc sử dụng đồng thời, cân nhắc một số khuyến cáo sau giúp giảm nguy cơ loét tiêu hóa: (1) uống ít nhất 100 mL nước sau khi uống kali, (2) ngồi hoặc đứng thẳng trong ít nhất 5 - 10 phút sau khi uống thuốc."
477,Ketoprofen,Ketorolac,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
478,Ketorolac,Lornoxicam,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
479,Ketorolac,Loxoprofen,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
480,Ketorolac,Meloxicam,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
481,Ketorolac,Nabumeton,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
482,Ketorolac,Naproxen,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
483,Ketorolac,Piroxicam,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
484,Ketorolac,Talniflumat,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
485,Ketorolac,Tenoxicam,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
486,Ketorolac,Zaltoprofen,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
487,Lansoprazol,Rilpivirin,Giảm hấp thu rilpivirin do tăng pH dạ dày,"Giảm nồng độ rilpivirin trong huyết thanh, giảm hiệu quả điều trị","Chống chỉ định phối hợp. Trong trường hợp thay thế bằng thuốc kháng H2, sử dụng các thuốc H2 ít nhất 12 giờ trước hoặc 4 giờ sau khi uống rilpivirin."
488,Lercanidipin,Lopinavir/ritonavir,Lopinavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của lercanidipin,"Tăng nồng độ lercanidipin, tăng nguy cơ hạ huyết áp nghiêm trọng",Chống chỉ định phối hợp
489,Lercanidipin,Saquinavir +/- ritonavir,Saquinavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của lercanidipin,"Tăng nồng độ lercanidipin, tăng nguy cơ hạ huyết áp nghiêm trọng",Chống chỉ định phối hợp
490,Lercanidipin,Posaconazol,Posaconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của lercanidipin,"Tăng nồng độ lercanidipin, tăng nguy cơ hạ huyết áp nghiêm trọng","Chống chỉ định phối hợp. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: Trong trường hợp bắt buộc sử dụng thuốc kháng nấm azol, thay posaconazol bằng fluconazol (nhưng tránh dùng liều cao, có tác dụng ức chế mạnh CYP3A4)."
491,Lercanidipin,Voriconazol,Voriconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của lercanidipin,"Tăng nồng độ lercanidipin, tăng nguy cơ hạ huyết áp nghiêm trọng","Chống chỉ định phối hợp. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: Trong trường hợp bắt buộc sử dụng thuốc kháng nấm azol, thay voriconazol bằng fluconazol (nhưng tránh dùng liều cao, có tác dụng ức chế mạnh CYP3A4)."
492,Levodopa/carb idopa +/- entacapon,Metoclopram id,Đối kháng tác dụng của nhau,Giảm hiệu quả của cả hai thuốc,Chống chỉ định phối hợp
493,Levodopa/carb idopa +/- entacapon,Sulpirid,Đối kháng tác dụng của nhau,Giảm hiệu quả của cả hai thuốc,Chống chỉ định phối hợp
494,Levodopa/carb idopa +/- entacapon,Linezolid,Tăng tích lũy noradrenalin (norepinephrin) và dopamin,"Tăng nguy cơ xuất hiện cơn tăng huyết áp (đau đầu, đánh trống ngực, cứng cổ, tăng huyết áp)",Chống chỉ định sử dụng levodopa/carbidopa đồng thời hoặc trong vòng 14 ngày trước đó có sử dụng linezolid.
495,Levodopa/carb idopa +/- entacapon,Xanh methylen (sử dụng đường tiêm tĩnh mạch),Tăng tích lũy noradrenalin (norepinephrin) và dopamin,"Tăng nguy cơ xuất hiện cơn tăng huyết áp (đau đầu, đánh trống ngực, cứng cổ, tăng huyết áp)",Chống chỉ định sử dụng levodopa/carbidopa đồng thời hoặc trong vòng 14 ngày trước đó có sử dụng xanh methylen.
496,Levofloxacin,Thioridazin,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
497,Levosulpirid,Thioridazin,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
498,Levosulpirid,Sparfloxacin,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
499,Linezolid,Paroxetin,Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời linezolid và paroxetin. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
500,Linezolid,Sertralin,Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời linezolid và sertralin. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
501,Linezolid,Venlafaxin,Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời linezolid và venlafaxin. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
502,Linezolid,Milnacipran,Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời linezolid và milnacriptan. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
503,Linezolid,Trazodon,Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời linezolid và trazodon. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
